,categories,Count,category_main_fr,category_main
0,Produits laitiers,41,Produits laitiers,Dairy products
1,Aliments et boissons à base de végétaux,40,Aliments et boissons à base de végétaux,Plant based products
2,Aliments d'origine végétale,37,Aliments et boissons à base de végétaux,Plant based products
3,Frais,33,Surgelés,Frozen products
4,Boissons,31,Boissons,Drinks
5,Fromages,28,Produits laitiers,Dairy products
6,Produits fermentés,19,Produits fermentés,Fermented products
7,Plats préparés,18,Plats préparés,Ready meals
8,Fromages pasteurisés,17,Produits laitiers,Dairy products
9,Fromages de vache,16,Produits laitiers,Dairy products
10,Produits laitiers fermentés,16,Produits laitiers,Dairy products
11,Fromages industriels,15,Produits laitiers,Dairy products
12,Boissons non sucrées,15,Boissons non sucrées,Drinks
13,Desserts,13,Biscuits et gateaux,Confections
14,Céréales et pommes de terre,13,Pains et céréales,"Grains, beans and legumes"
15,Fromages de France,13,Produits laitiers,Dairy products
16,Produits de la mer,12,Produits de la mer,"Meat, fish and egg"
17,Petit-déjeuners,12,Pains et céréales,"Grains, beans and legumes"
18,Snacks sucrés,11,Biscuits et gateaux,Confections
19,Poissons,11,Produits de la mer,"Meat, fish and egg"
20,Plats préparés à réchauffer au micro-ondes,10,Plats préparés,Ready meals
21,Produits à tartiner,9,Pâtes à tartiner,Spreads
22,Sauces,9,Sauces,Sauces
23,Céréales et dérivés,9,Pains et céréales,"Grains, beans and legumes"
24,Plant-based foods and beverages,9,Aliments et boissons à base de végétaux,Plant based products
25,Aliments à base de fruits et de légumes,9,Aliments et boissons à base de végétaux,Plant based products
26,Boissons à base de végétaux,8,Aliments et boissons à base de végétaux,Plant based products
27,Epicerie,8,,
28,Eaux minérales,8,Eau,Drinks
29,Boissons végétales,8,Aliments et boissons à base de végétaux,Plant based products
30,plant-based-foods-and-beverages,8,Aliments et boissons à base de végétaux,Plant based products
31,Plant-based foods,8,Aliments et boissons à base de végétaux,Plant based products
32,Eaux,8,Eau,Drinks
33,Fermented milk products,7,Produits laitiers,Dairy products
34,Charcuteries,7,Viandes et charcuteries,"Meat, fish and egg"
35,Boissons alcoolisées,7,Boissons alcoolisées,Alcoholic beverages
36,Pflanzliche Lebensmittel und Getränke,7,Aliments et boissons à base de végétaux,Plant based products
37,Pflanzliche Lebensmittel,7,Aliments et boissons à base de végétaux,Plant based products
38,Viandes,7,Viandes et charcuteries,"Meat, fish and egg"
39,Boissons sucrées,6,Boissons,Drinks
40,Dairies,6,Produits laitiers,Dairy products
41,Conserves,6,Conserves,Canned products
42,Mozzarella,6,Produits laitiers,Dairy products
43,Légumes et dérivés,6,Aliments et boissons à base de végétaux,Plant based products
44,Céréales pour petit-déjeuner,6,Pains et céréales,"Grains, beans and legumes"
45,Laits,6,Produits laitiers,Dairy products
46,Fromages italiens,6,Produits laitiers,Dairy products
47,Cereals and potatoes,5,Pains et céréales,"Grains, beans and legumes"
48,Canned foods,5,Conserves,Canned products
49,Surgelés,5,Surgelés,Frozen products
50,Légumineuses et dérivés,5,Légumineuses,"Grains, beans and legumes"
51,Yaourts,5,Produits laitiers,Dairy products
52,Produits à tartiner sucrés,5,Pâtes à tartiner,Spreads
53,fresh-foods,5,,
54,Boissons végétales de soja,5,Aliments et boissons à base de végétaux,Plant based products
55,Eaux de sources,5,Eau,Drinks
56,Plats préparés frais,5,Plats préparés,Ready meals
57,Infusions,5,Thés et infusions,Tee and infusions
58,Cheeses,5,Produits laitiers,Dairy products
59, plant-based-foods,5,Aliments et boissons à base de végétaux,Plant based products
60,Boissons chaudes,5,Boissons,Drinks
61,Apéritif,4,Boissons alcoolisées,Alcoholic beverages
62,Laits demi-écrémés,4,Produits laitiers,Dairy products
63,Édulcorants,4,,
64,Fromages à pâte filée,4,Produits laitiers,Dairy products
65,Légumes en conserve,4,Conserves,Canned products
66,Pâtes alimentaires,4,Pâtes alimentaires,
67,Plats préparés réfrigérés,4,"Plats préparés, Surgelés",
68,Viennoiseries,4,Biscuits et gateaux,Confections
69,sugary-snacks,4,Biscuits et gateaux,Confections
70,Produits d'élevages,4,,
71,Vins,4,Boissons alcoolisées,Alcoholic beverages
72,Produits labellisés,4,,
73,Porc,4,Viandes et charcuteries,"Meat, fish and egg"
74,Thés,4,Thés et infusions,Tee and infusions
75, biscuits-and-cakes,4,Biscuits et gateaux,Confections
76,meals,4,Plats préparés,Ready meals
77,Plats à base de viande,4,Plats préparés,Ready meals
78,Biscuits et gâteaux,4,Biscuits et gateaux,Confections
79,Matières grasses,4,,
80, cereals-and-their-products,4,Pains et céréales,"Grains, beans and legumes"
81,Sauces tomate,4,Sauces,Sauces
82,Biscuits,4,Biscuits et gateaux,Confections
83,Laits UHT,4,Produits laitiers,Dairy products
84,Fermented foods,4,,
