,origins,replace_with
0,France,France
1,Italie,Italy
2,Union Européenne,European Union
3,Allemagne,Germany
4,Deutschland,Germany
5,Vietnam,Vietnam
6,Océan Pacifique,Pacific Ocean
7,Pérou,Peru
8,Pays-Bas,Netherlands
9,Espagne,Spain
10,Italien,Italy
11,Argentine,Argentine
12,Italy,Italy
13,Alaska,Alaska
14,Mexique,Mexico
15,Chine,China
16,Turquie,Turkey
17,Lait,
18,Indien,India
19,Amérique du Sud,South America
20,Russie,Russia
21,Europe,Europe
22,Grèce,Greece
23,Océan Atlantique,Atlantic Ocean
24,Viande de Porc,
25,Thaïlande,Thailand
26,China,China
27,Royaume-Uni,United Kingdom
28,Türkei,Turkey
29,Canada,Canada
30,Österreich,Austria
31,Agriculture UE,European Union
32,Portugal,Portugal
33,Océan Indien,Indian Ocean
34,Afrique,Africa
35,Inde,India
36,Paraguay,Paraguay
37,Etats-Unis,United States
38,Spanien,Spain
39,64110 Jurançon,France
40,Fromageries des Chaumes,
41,Bulgarie,Bulgaria
42,Soja de Francia,France
43,Germany,Germany
44,Frankreich,France
45,Sri Lanka,Sri Lanka
46,Madagascar,Madagascar
47,Pologne,Poland
48,Océan pacifique,Pacific Ocean
49,Evian,France
50,Asie,Asia
51,france,France
52,USA,United States
53,Uruguay,Uruguay
54,Union européenne,European Union
55,Pyrénées-Atlantiques,France
56,Ecosse,Scotland
57,Équateur,Ecuador
58,Camargue,France
59,EU,European Union
60,Aquitaine,France
61,United Kingdom,United Kingdom
62,Blé cultivé en France,France
63,Non spécifiée,
64,Pays de la Loire,France
65,Tschechische Republik,Czech Republic
66,Italie?,Italy
67,World,
68,Scandinavie,Scandinavia
69,Angleterre,England
70,Autriche,Austria
71,Südafrika,South Africa
72,Finlande,Finland
73,Italia,Italy
74,España,Spain
75,FAO N°71,
76,Viêt Nam,Vietnam
77,Viande du Portugal,Portugal
78,Atlantique,Atlantic Ocean
79,Polen,Poland
80,Atlantique nord-est,Atlantic Ocean
81,Hors CE,
82,Malaisie,Malaysia
83,Tomates d'Italie,Italy
84,Saint Galmier,France
85,Belgien,Belgium
86,Roumanie,Romania
87,Vinaigre balsamique de Modène IGP,
88,fr:Rooibos de Afrique du Sud,South Africa
89,Source Éléna,France
90,Lait de France,France
91,Soja,
92,oeufs fermiers de loué,
93,Ouganda,Uganda
94,Noix de Saint-Jacques (Argopecten purpuratus),
95,cantal,France
96,Noix de Saint-Jacques (Zygochlamys patagonica),
97,Hollande,Netherlands
98,FAO N°87,
99,tomates 100% Italie,Italy
100,Eure-et-Loir,France
101,Rumänien,Romania
102, Kanada,Canada
103,Alpes,Alps
104,chine,China
105,Gousse de vanille,
106,Mexiko,Mexico
107,écosse,Scotland
108,Lait de vache pasteurisé,
109,Îles Féroé,Faroe Islands
110,Ghana,Ghana
111,Source Sainte Cécile,France
112,Peru,Peru
113,fr:Cacahuètes d'Argentine,Argentine
114,Zona amparada por la D.O. Rueda,
115,United States,United States
116,Source Clairvic,
117,Hors Allemagne,Germany
118,Brasilien,Brazil
119,Cabillaud : Océan Pacifique,Pacific Ocean
120,Écosse,Scotland
121,Indonesien,Indonesia
122, Kommark,
123,Produit en Italie,Italy
124,Gironde,France
125,fromages italiens AOP,Italy
126,Egypte,Egypt
127,Origine France,France
128,FRANCE,France
129,Soja de France,France
130,Tchéquie,Tech
131,Riz,Czech Republic
132,Inde du Sud,India
133, Castilla y León,
134,Macédoine,
135,Cairanne,France
136,Equateur,Ecuador
137,fromage Pecorino Romano AOP,
138,Source Emma,
139,Centre-Val-de-Loire,France
140,28200 Châteaudun,
141,Brésil,Brazil
142,Thailand,Thailand
143,Viande de porc origine UE,European Union
144,Océan Atlantique Nord Est,Atlantic Ocean
145,Ukraine,Ukraine
146,francia,France
147,Porc,
148,Israel,Israel
