name,another_name:original_name,another_name:official_name,code
Belgium,Belgique/België,Kingdom of Belgium,be
Bulgaria,България,Republic of Bulgaria,bg
Czech Republic,Česká republika,Czech Republic,cz
Denmark,Danmark,Kingdom of Denmark,dk
Germany,Deutschland,Federal Republic of Germany,de
Estonia,Eesti,Republic of Estonia,ee
Ireland,Éire/Ireland,Ireland,ie
Greece,Ελλάδα,Hellenic Republic,el
Spain,España,Kingdom of Spain,es
France,France,French Republic,fr
Croatia,Hrvatska,Republic of Croatia,hr
Italy,Italia,Italian Republic,it
Cyprus,Κύπρος,Republic of Cyprus,cy
Latvia,Latvija,Republic of Latvia,lv
Lithuania,Lietuva,Republic of Lithuania,lt
Luxembourg,Luxembourg,Grand Duchy of Luxembourg,lu
Hungary,Magyarország,Hungary,hu
Malta,Malta,Republic of Malta,mt
Netherlands,Nederland,Kingdom of the Netherlands,nl
Austria,Österreich,Republic of Austria,at
Poland,Polska,Republic of Poland,pl
Portugal,Portugal,Portuguese Republic,pt
Romania,România ,Romania,ro
Slovenia,Slovenija,Republic of Slovenia,si
Slovakia,Slovensko,Slovak Republic,sk
Finland,Suomi/Finland,Republic of Finland,fi
Sweden,Sverige,Kingdom of Sweden,se
United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland ,uk
