,Years,Quantité (kg),Valeur (CHF),Valeur +/- %
0,1988,5067425433,7438573709,*
1,1989,4873508372,8081853740,8.6
2,1990,4522380855,8094450856,0.2
3,1991,4586672609,8111079705,0.2
4,1992,4655451282,7978528184,-1.6
5,1993,4724192411,7868985031,-1.4
6,1994,5022956339,8342813998,6
7,1995,5093921240,8071078504,-3.3
8,1996,4964469440,8284154596,2.6
9,1997,4974241114,8887322571,7.3
10,1998,5142199296,9259204109,4.2
11,1999,5445173468,9559872510,3.2
12,2000,5672847832,9924894060,3.8
13,2001,5562284130,9935878452,0.1
14,2002,5948860031,9927545955,-0.1
15,2003,6343693686,10368684812,4.4
16,2004,6317944782,10505215864,1.3
17,2005,6283266452,10997365753,4.7
18,2006,6910338709,11937482562,8.5
19,2007,7211031829,13403441279,12.3
20,2008,7261205745,14198499857,5.9
21,2009,6853094632,13306245303,-6.3
22,2010,7219610759,13398134694,0.7
23,2011,7586267056,13319045603,-0.6
24,2012,7170136983,13305981334,-0.1
25,2013,7755946373,14055396576,5.6
26,2014,7732164197,14062223261,0
27,2015,7860441946,13309099810,-5.4
28,2016,8129092943,13699253042,2.9
29,2017,8232790656,14338238728,4.7
